CCode,Country,data_year,IU_2014
BRB,Barbados,2014,76.67
BRN,Brunei,2014,68.77
CUW,Curacao,2014,
CYM,Cayman Islands,2014,74.1
DMA,Dominica,2014,62.86
FCS,Fragile and conflict affected situations,2014,11.53125456
FRO,Faeroe Islands,2014,94.66
FSM,Micronesia,2014,
GRD,Grenada,2014,37.38
IMN,Isle of Man,2014,
ISL,Iceland,2014,98.16
KIR,Kiribati,2014,12.25
KNA,St. Kitts and Nevis,2014,65.4
LCA,St. Lucia,2014,51
LIE,Liechtenstein,2014,95.21
MAF,St. Martin (French part),2014,
MCO,Monaco,2014,92.4
MDV,Maldives,2014,49.28
MHL,Marshall Islands,2014,16.8
MLT,Malta,2014,73.17
MNP,Northern Mariana Islands,2014,
NCL,New Caledonia,2014,70
PLW,Palau,2014,
PYF,French Polynesia,2014,60.68
SMR,San Marino,2014,
STP,Sao Tome and Principe,2014,24.41
SYC,Seychelles,2014,54.26
TCA,Turks and Caicos Islands,2014,
TON,Tonga,2014,40
TUV,Tuvalu,2014,
VCT,St. Vincent and the Grenadines,2014,56.48
VIR,Virgin Islands (U.S.),2014,50.07
VUT,Vanuatu,2014,18.8
WSM,Samoa,2014,21.2
